Epoch 11 Batch 1100 Loss 3.2577
Epoch 11 Batch 1200 Loss 3.4031
Epoch 11 Batch 1300 Loss 3.0772
Epoch 11 Batch 1400 Loss 2.8920
Epoch 11 Batch 1500 Loss 3.1840
Epoch 11 Batch 1600 Loss 3.2179
Epoch 11 Batch 1700 Loss 3.2670
Epoch 11 Batch 1800 Loss 2.7866
Epoch 11 Batch 1900 Loss 3.4695
Epoch 11 Batch 2000 Loss 3.1142
Epoch 11 Batch 2100 Loss 3.0547
Epoch 11 Batch 2200 Loss 2.9269
Epoch 11 Batch 2300 Loss 3.5090
Epoch 11 Batch 2400 Loss 2.9983
Epoch 11 Batch 2500 Loss 3.3635
Epoch 11 Batch 2600 Loss 3.0627
Epoch 11 Batch 2700 Loss 3.3759
